"특성별","경험및변화별","품목군별","항목","단위","2019 년","2020 년","2021 년","2022 년",
"전체","비슷","당 및 탄수화물","비율","%","65.1","66.1","60.9","65.9",
"전체","비슷","발효미생물류","비율","%","65","61","53.1","67.6",
"전체","비슷","신규기능성식품","비율","%","","","59.2","66.2",
"전체","약간 증가","비타민 및 무기질","비율","%","19.8","33.2","19.6","17.4",
"전체","약간 증가","식이섬유","비율","%","17.1","15.2","21.8","12.4",
"전체","약간 증가","아미노산 및 단백질","비율","%","13.2","18.2","19.2","10.9",
"전체","약간 증가","필수지방산","비율","%","20.1","26.8","","",
"전체","약간 증가","지방산","비율","%","","","27","19.6",
"전체","약간 증가","클로렐라/엽록소","비율","%","9.8","13.2","","",
"전체","약간 증가","엽록소","비율","%","","","11.4","7.1",
"전체","약간 증가","인삼류","비율","%","20.6","22.8","22.2","19.8",
"전체","약간 증가","페놀류","비율","%","9.6","13.8","11.8","7.2",
"전체","약간 증가","당 및 탄수화물","비율","%","7.4","11","12.5","10.5",
"전체","약간 증가","발효미생물류","비율","%","20.9","26.7","36.5","21.3",
"전체","약간 증가","신규기능성식품","비율","%","","","25.6","17.3",
"전체","매우 증가","비타민 및 무기질","비율","%",".2","1.2",".7",".4",
"전체","매우 증가","식이섬유","비율","%",".3","1",".2",".3",
"전체","매우 증가","아미노산 및 단백질","비율","%",".7","1.3",".7",".6",
"전체","매우 증가","필수지방산","비율","%",".5",".9","","",
"전체","매우 증가","지방산","비율","%","","",".8",".4",
"전체","매우 증가","클로렐라/엽록소","비율","%",".2",".3","","",
"전체","매우 증가","엽록소","비율","%","","",".3",".7",
"전체","매우 증가","인삼류","비율","%",".2",".8",".8","1.7",
"전체","매우 증가","페놀류","비율","%","0",".3",".7",".4",
"전체","매우 증가","당 및 탄수화물","비율","%","0",".7",".8",".2",
"전체","매우 증가","발효미생물류","비율","%",".9","1.2","1.2","1.1",
"전체","매우 증가","신규기능성식품","비율","%","","",".9",".5",
"전체","평균","비타민 및 무기질","비율","점","3.1","3.28","3.08","3.12",
"전체","평균","식이섬유","비율","점","2.88","2.95","2.93","2.81",
"전체","평균","아미노산 및 단백질","비율","점","2.89","2.97","2.95","2.76",
"전체","평균","필수지방산","비율","점","3.03","3.14","","",
"전체","평균","지방산","비율","점","","","3.14","3.07",
"전체","평균","클로렐라/엽록소","비율","점","2.79","2.89","","",
"전체","평균","엽록소","비율","점","","","2.77","2.71",
"전체","평균","인삼류","비율","점","2.97","3.01","3","3.02",
"전체","평균","페놀류","비율","점","2.77","2.92","2.74","2.73",
"전체","평균","당 및 탄수화물","비율","점","2.74","2.83","2.81","2.81",
"전체","평균","발효미생물류","비율","점","3.07","3.15","3.28","3.12",
"전체","평균","신규기능성식품","비율","점","","","3.1","2.98",
"수도권","구입없음","비타민 및 무기질","비율","","14.5","10.6","23.2","23.9",
"수도권","구입없음","식이섬유","비율","","42.2","50.7","64.8","63.7",
"수도권","구입없음","아미노산 및 단백질","비율","","47.1","56.8","60.6","63.7",
"수도권","구입없음","필수지방산","비율","","34","41.9","","",
"수도권","구입없음","지방산","비율","","","","43.6","46.3",
"수도권","구입없음","클로렐라/엽록소","비율","","49.9","61.1","","",
"수도권","구입없음","엽록소","비율","","","","70.8","68.7",
"수도권","구입없음","인삼류","비율","","26.2","37.6","43.9","42.7",
"수도권","구입없음","페놀류","비율","","53","61.9","69.2","69.6",
"수도권","구입없음","당 및 탄수화물","비율","","51.7","58.6","66.4","66.9",
"수도권","구입없음","발효미생물류","비율","","22.8","20.6","29.2","35.6",
"수도권","구입없음","신규기능성식품","비율","","","","47.4","49.4",
"수도권","구입있음","비타민 및 무기질","비율","","85.5","89.4","76.8","76.1",
"수도권","구입있음","식이섬유","비율","","57.8","49.3","35.2","36.3",
"수도권","구입있음","아미노산 및 단백질","비율","","52.9","43.2","39.4","36.3",
"수도권","구입있음","필수지방산","비율","","66","58.1","","",
"수도권","구입있음","지방산","비율","","","","56.4","53.7",
"수도권","구입있음","클로렐라/엽록소","비율","","50.1","38.9","","",
"수도권","구입있음","엽록소","비율","","","","29.2","31.3",
"수도권","구입있음","인삼류","비율","","73.8","62.4","56.1","57.3",
"수도권","구입있음","페놀류","비율","","47","38.1","30.8","30.4",
"수도권","구입있음","당 및 탄수화물","비율","","48.3","41.4","33.6","33.1",
"수도권","구입있음","발효미생물류","비율","","77.2","79.4","70.8","64.4",
"수도권","구입있음","신규기능성식품","비율","","","","52.6","50.6",
"수도권","매우 감소","비타민 및 무기질","비율","%","2.1","1.4","4.1","1",
"수도권","매우 감소","식이섬유","비율","%","4.6","1.4","9.7","10.6",
"수도권","매우 감소","아미노산 및 단백질","비율","%","5.5","2.8","10","9.6",
"수도권","매우 감소","필수지방산","비율","%","1","3.2","","",
"수도권","매우 감소","지방산","비율","%","","","3","1",
"수도권","매우 감소","클로렐라/엽록소","비율","%","6.3","5.3","","",
"수도권","매우 감소","엽록소","비율","%","","","12.7","7.4",
"수도권","매우 감소","인삼류","비율","%","4.1","6.5","5.8","3.7",
"수도권","매우 감소","페놀류","비율","%","4.7","3.7","17.6","11",
"수도권","매우 감소","당 및 탄수화물","비율","%","5","7.6","11.7","7.6",
"수도권","매우 감소","발효미생물류","비율","%","2.6","2","2.7","1.3",
"수도권","매우 감소","신규기능성식품","비율","%","","","5.6","4.9",
"수도권","약간 감소","비타민 및 무기질","비율","%","3.6","2.2","8.9","4.2",
"수도권","약간 감소","식이섬유","비율","%","22.4","19.1","22.8","14.6",
"수도권","약간 감소","아미노산 및 단백질","비율","%","16.6","17.5","19.7","19.7",
"수도권","약간 감소","필수지방산","비율","%","13.8","8","","",
"수도권","약간 감소","지방산","비율","%","","","11.7","10.6",
"수도권","약간 감소","클로렐라/엽록소","비율","%","21.8","13.9","","",
"수도권","약간 감소","엽록소","비율","%","","","21.4","20.5",
"수도권","약간 감소","인삼류","비율","%","14.1","12.7","18.9","11",
"수도권","약간 감소","페놀류","비율","%","24.7","12.5","23.9","16.8",
"수도권","약간 감소","당 및 탄수화물","비율","%","21.4","15.7","24.3","15.6",
"수도권","약간 감소","발효미생물류","비율","%","10.6","8.1","9.5","6.6",
"수도권","약간 감소","신규기능성식품","비율","%","","","13.1","12.5",
"수도권","비슷","비타민 및 무기질","비율","%","73.8","49.6","69.2","71.5",
"수도권","비슷","식이섬유","비율","%","57.6","64.6","45.9","61.4",
"수도권","비슷","아미노산 및 단백질","비율","%","66.6","55.1","51.6","59.3",
"수도권","비슷","필수지방산","비율","%","67.9","58.7","","",
"수도권","비슷","지방산","비율","%","","","54.9","66.8",
"수도권","비슷","클로렐라/엽록소","비율","%","62.5","64.9","","",
"수도권","비슷","엽록소","비율","%","","","55.4","66.4",
"수도권","비슷","인삼류","비율","%","62.7","52.8","52.2","61.1",
"수도권","비슷","페놀류","비율","%","62.4","66","49.6","68.8",
"수도권","비슷","당 및 탄수화물","비율","%","66.4","65","50.6","69.4",
"수도권","비슷","발효미생물류","비율","%","69.9","59.7","49.5","68.6",
"수도권","비슷","신규기능성식품","비율","%","","","52.1","69.8",
"수도권","약간 증가","비타민 및 무기질","비율","%","20.4","44.8","17.2","22.6",
"수도권","약간 증가","식이섬유","비율","%","15.4","13.6","21.6","13.2",
"수도권","약간 증가","아미노산 및 단백질","비율","%","10.9","22.6","18.5","10.9",
"수도권","약간 증가","필수지방산","비율","%","17.1","29","","",
"수도권","약간 증가","지방산","비율","%","","","30","21.6",
"수도권","약간 증가","클로렐라/엽록소","비율","%","9.4","15.4","","",
"수도권","약간 증가","엽록소","비율","%","","","10.4","4.9",
"수도권","약간 증가","인삼류","비율","%","19.1","27.3","22.4","23",
"수도권","약간 증가","페놀류","비율","%","8.2","17.3","8.7","3.4",
"수도권","약간 증가","당 및 탄수화물","비율","%","7.2","10.7","12","7.5",
"수도권","약간 증가","발효미생물류","비율","%","15.9","29","37.7","23.1",
"수도권","약간 증가","신규기능성식품","비율","%","","","28.9","12.8",
"수도권","매우 증가","비타민 및 무기질","비율","%",".2","1.9",".6",".8",
"수도권","매우 증가","식이섬유","비율","%","0","1.2","0",".2",
"수도권","매우 증가","아미노산 및 단백질","비율","%",".3","1.9",".2",".6",
"수도권","매우 증가","필수지방산","비율","%",".1","1","","",
"수도권","매우 증가","지방산","비율","%","","",".3","0",
"수도권","매우 증가","클로렐라/엽록소","비율","%","0",".5","","",
"수도권","매우 증가","엽록소","비율","%","","",".3",".8",
"수도권","매우 증가","인삼류","비율","%","0",".7",".7","1.3",
"수도권","매우 증가","페놀류","비율","%","0",".5",".3","0",
"수도권","매우 증가","당 및 탄수화물","비율","%","0","1","1.3","0",
"수도권","매우 증가","발효미생물류","비율","%","1.1","1.2",".6",".3",
"수도권","매우 증가","신규기능성식품","비율","%","","",".4","0",
"수도권","평균","비타민 및 무기질","비율","점","3.13","3.44","3.01","3.18",
"수도권","평균","식이섬유","비율","점","2.84","2.94","2.79","2.78",
"수도권","평균","아미노산 및 단백질","비율","점","2.84","3.03","2.79","2.73",
"수도권","평균","필수지방산","비율","점","3.02","3.17","","",
"수도권","평균","지방산","비율","점","","","3.13","3.09",
"수도권","평균","클로렐라/엽록소","비율","점","2.75","2.92","","",
"수도권","평균","엽록소","비율","점","","","2.64","2.71",
"수도권","평균","인삼류","비율","점","2.97","3.03","2.93","3.07",
"수도권","평균","페놀류","비율","점","2.74","2.98","2.5","2.65",
"수도권","평균","당 및 탄수화물","비율","점","2.76","2.82","2.67","2.77",
"수도권","평균","발효미생물류","비율","점","3.02","3.19","3.24","3.15",
"수도권","평균","신규기능성식품","비율","점","","","3.06","2.91",
"충청권","구입없음","비타민 및 무기질","비율","","39.1","28.1","32","35.2",
"충청권","구입없음","식이섬유","비율","","60.6","60.3","76.5","71.8",
"충청권","구입없음","아미노산 및 단백질","비율","","70.6","64.5","65.6","69.1",
"충청권","구입없음","필수지방산","비율","","54.2","49.1","","",
"충청권","구입없음","지방산","비율","","","","47.4","42.6",
"충청권","구입없음","클로렐라/엽록소","비율","","71.1","75.2","","",
"충청권","구입없음","엽록소","비율","","","","81.4","75.4",
"충청권","구입없음","인삼류","비율","","48.5","49.5","56.3","43.6",
"충청권","구입없음","페놀류","비율","","71.1","74.7","81.7","71.4",
"충청권","구입없음","당 및 탄수화물","비율","","69.8","71.2","80.5","65.3",
"충청권","구입없음","발효미생물류","비율","","52.6","34.1","38.5","37.6",
"충청권","구입없음","신규기능성식품","비율","","","","60.1","51.4",
"충청권","구입있음","비타민 및 무기질","비율","","60.9","71.9","68","64.8",
"충청권","구입있음","식이섬유","비율","","39.4","39.7","23.5","28.2",
"충청권","구입있음","아미노산 및 단백질","비율","","29.4","35.5","34.4","30.9",
"충청권","구입있음","필수지방산","비율","","45.8","50.9","","",
"충청권","구입있음","지방산","비율","","","","52.6","57.4",
"충청권","구입있음","클로렐라/엽록소","비율","","28.9","24.8","","",
"충청권","구입있음","엽록소","비율","","","","18.6","24.6",
"충청권","구입있음","인삼류","비율","","51.5","50.5","43.7","56.4",
"충청권","구입있음","페놀류","비율","","28.9","25.3","18.3","28.6",
"충청권","구입있음","당 및 탄수화물","비율","","30.2","28.8","19.5","34.7",
"충청권","구입있음","발효미생물류","비율","","47.4","65.9","61.5","62.4",
"충청권","구입있음","신규기능성식품","비율","","","","39.9","48.6",
"충청권","매우 감소","비타민 및 무기질","비율","%",".5",".7","0","0",
"충청권","매우 감소","식이섬유","비율","%","6.4","4","6.9","5",
"충청권","매우 감소","아미노산 및 단백질","비율","%","4.7","4.3","0","12.8",
"충청권","매우 감소","필수지방산","비율","%","1.4",".3","","",
"충청권","매우 감소","지방산","비율","%","","",".6","1.7",
"충청권","매우 감소","클로렐라/엽록소","비율","%","5.8","13.1","","",
"충청권","매우 감소","엽록소","비율","%","","","4","15",
"충청권","매우 감소","인삼류","비율","%","3.8",".2","1.5","6.5",
"충청권","매우 감소","페놀류","비율","%","1.9","5.2","4","10.8",
"충청권","매우 감소","당 및 탄수화물","비율","%","4.6","8.1","2.4","9",
"충청권","매우 감소","발효미생물류","비율","%","2.5","2.5",".5","7.5",
"충청권","매우 감소","신규기능성식품","비율","%","","","0","6.2",
"충청권","약간 감소","비타민 및 무기질","비율","%","6.8","6.5","2.4","1.9",
"충청권","약간 감소","식이섬유","비율","%","20.9","15.5","5.9","6.3",
"충청권","약간 감소","아미노산 및 단백질","비율","%","20.4","21.5","1.5","5.6",
"충청권","약간 감소","필수지방산","비율","%","13.6","7","","",
"충청권","약간 감소","지방산","비율","%","","","1","1.4",
"충청권","약간 감소","클로렐라/엽록소","비율","%","22.3","6.9","","",
"충청권","약간 감소","엽록소","비율","%","","","13.6","16.7",
"충청권","약간 감소","인삼류","비율","%","19.7","11.3","3.2","5.1",
"충청권","약간 감소","페놀류","비율","%","29.3","31.2","12.4","17.5",
"충청권","약간 감소","당 및 탄수화물","비율","%","49.6","17.3","6.8","9.4",
"충청권","약간 감소","발효미생물류","비율","%","11.4","6.7","1.2","3.6",
"충청권","약간 감소","신규기능성식품","비율","%","","","1.5","7.5",
"충청권","비슷","비타민 및 무기질","비율","%","73.7","79.3","72.4","89.1",
"충청권","비슷","식이섬유","비율","%","35.3","59.9","79.4","87.6",
"충청권","비슷","아미노산 및 단백질","비율","%","65.7","64.5","74","72.8",
"충청권","비슷","필수지방산","비율","%","47","66.5","","",
"충청권","비슷","지방산","비율","%","","","63.6","77.5",
"충청권","비슷","클로렐라/엽록소","비율","%","68.7","63.8","","",
"충청권","비슷","엽록소","비율","%","","","79","63",
"충청권","비슷","인삼류","비율","%","49.7","71.2","74.9","74.7",
"충청권","비슷","페놀류","비율","%","63.7","52.8","82.1","68.6",
"충청권","비슷","당 및 탄수화물","비율","%","38.8","61.8","87","74.3",
"충청권","비슷","발효미생물류","비율","%","49","69.8","57.9","67.6",
"충청권","비슷","신규기능성식품","비율","%","","","67.1","67.1",
"충청권","약간 증가","비타민 및 무기질","비율","%","18.2","13.5","24.8","9",
"충청권","약간 증가","식이섬유","비율","%","33.8","20.6","7.8","1.1",
"충청권","약간 증가","아미노산 및 단백질","비율","%","9.3","9.7","23","8",
"충청권","약간 증가","필수지방산","비율","%","38","26.2","","",
"충청권","약간 증가","지방산","비율","%","","","31","18.3",
"충청권","약간 증가","클로렐라/엽록소","비율","%","3.1","15.9","","",
"충청권","약간 증가","엽록소","비율","%","","","3.3","5.3",
"충청권","약간 증가","인삼류","비율","%","26.1","16.8","20.3","13.4",
"충청권","약간 증가","페놀류","비율","%","5.1","10.8","1.5","3.1",
"충청권","약간 증가","당 및 탄수화물","비율","%","7","12.8","3.8","7.2",
"충청권","약간 증가","발효미생물류","비율","%","37.1","20.2","39.8","20.1",
"충청권","약간 증가","신규기능성식품","비율","%","","","31.4","17.5",
"충청권","매우 증가","비타민 및 무기질","비율","%",".8",".1",".4","0",
"충청권","매우 증가","식이섬유","비율","%","3.6","0","0","0",
"충청권","매우 증가","아미노산 및 단백질","비율","%","0","0","1.4",".8",
"충청권","매우 증가","필수지방산","비율","%","0","","","",
"충청권","매우 증가","지방산","비율","%","","","3.7","1.1",
"충청권","매우 증가","클로렐라/엽록소","비율","%","0",".3","","",
"충청권","매우 증가","엽록소","비율","%","","","0","0",
"충청권","매우 증가","인삼류","비율","%",".7",".5","0",".3",
"충청권","매우 증가","페놀류","비율","%","0","0","0","0",
"충청권","매우 증가","당 및 탄수화물","비율","%","0","0","0","0",
"충청권","매우 증가","발효미생물류","비율","%","0",".9",".6","1.2",
"충청권","매우 증가","신규기능성식품","비율","%","","","0","1.6",
"충청권","평균","비타민 및 무기질","비율","점","3.12","3.06","3.23","3.07",
"충청권","평균","식이섬유","비율","점","3.07","2.97","2.88","2.85",
"충청권","평균","아미노산 및 단백질","비율","점","2.8","2.8","3.24","2.78",
"충청권","평균","필수지방산","비율","점","3.22","3.19","","",
"충청권","평균","지방산","비율","점","","","3.36","3.16",
"충청권","평균","클로렐라/엽록소","비율","점","2.69","2.83","","",
"충청권","평균","엽록소","비율","점","","","2.82","2.59",
"충청권","평균","인삼류","비율","점","3","3.06","3.14","2.96",
"충청권","평균","페놀류","비율","점","2.72","2.69","2.81","2.64",
"충청권","평균","당 및 탄수화물","비율","점","2.48","2.79","2.92","2.8",
"충청권","평균","발효미생물류","비율","점","3.21","3.1","3.39","3.04",
"충청권","평균","신규기능성식품","비율","점","","","3.3","3.01",
"호남권","구입없음","비타민 및 무기질","비율","","25.3","18.8","21","24.4",
"호남권","구입없음","식이섬유","비율","","60.6","44.8","40.8","43.4",
"호남권","구입없음","아미노산 및 단백질","비율","","68.7","46.5","39.6","46.6",
"호남권","구입없음","필수지방산","비율","","47.6","36.6","","",
"호남권","구입없음","지방산","비율","","","","24.6","21.4",
"호남권","구입없음","클로렐라/엽록소","비율","","67.6","53.2","","",
"호남권","구입없음","엽록소","비율","","","","46.2","45",
"호남권","구입없음","인삼류","비율","","50.6","31.3","26.5","17.4",
"호남권","구입없음","페놀류","비율","","73.5","55.1","46","46.5",
"호남권","구입없음","당 및 탄수화물","비율","","75.7","53.3","46.1","46",
"호남권","구입없음","발효미생물류","비율","","48.5","32.6","26.7","23.4",
"호남권","구입없음","신규기능성식품","비율","","","","36.5","29.7",
"호남권","구입있음","비타민 및 무기질","비율","","74.7","81.2","79","75.6",
"호남권","구입있음","식이섬유","비율","","39.4","55.2","59.2","56.6",
"호남권","구입있음","아미노산 및 단백질","비율","","31.3","53.5","60.4","53.4",
"호남권","구입있음","필수지방산","비율","","52.4","63.4","","",
"호남권","구입있음","지방산","비율","","","","75.4","78.6",
"호남권","구입있음","클로렐라/엽록소","비율","","32.4","46.8","","",
"호남권","구입있음","엽록소","비율","","","","53.8","55",
"호남권","구입있음","인삼류","비율","","49.4","68.7","73.5","82.6",
"호남권","구입있음","페놀류","비율","","26.5","44.9","54","53.5",
"호남권","구입있음","당 및 탄수화물","비율","","24.3","46.7","53.9","54",
"호남권","구입있음","발효미생물류","비율","","51.5","67.4","73.3","76.6",
"호남권","구입있음","신규기능성식품","비율","","","","63.5","70.3",
"호남권","매우 감소","비타민 및 무기질","비율","%","1.7",".6","2.2","1.5",
"호남권","매우 감소","식이섬유","비율","%","4.2","6.3","2.5","2.8",
"호남권","매우 감소","아미노산 및 단백질","비율","%","2.3","2.7","2.5","5.6",
"호남권","매우 감소","필수지방산","비율","%","6.5","1","","",
"호남권","매우 감소","지방산","비율","%","","","1","2",
"호남권","매우 감소","클로렐라/엽록소","비율","%","11.3","5.4","","",
"호남권","매우 감소","엽록소","비율","%","","","3.2","3.5",
"호남권","매우 감소","인삼류","비율","%","7.2","3.2","4.3","3.7",
"호남권","매우 감소","페놀류","비율","%","5.7","3.5","5.6","3.4",
"호남권","매우 감소","당 및 탄수화물","비율","%","8.4","6.5","4","1.6",
"호남권","매우 감소","발효미생물류","비율","%","1.5","3.1","1.6","1.8",
"호남권","매우 감소","신규기능성식품","비율","%","","","1.2","2.9",
"호남권","약간 감소","비타민 및 무기질","비율","%","2.4","3.9","13.6","10.7",
"호남권","약간 감소","식이섬유","비율","%","23.5","11.7","15.2","14.7",
"호남권","약간 감소","아미노산 및 단백질","비율","%","20","13","17.3","16.3",
"호남권","약간 감소","필수지방산","비율","%","10.2","11.8","","",
"호남권","약간 감소","지방산","비율","%","","","14.3","13.4",
"호남권","약간 감소","클로렐라/엽록소","비율","%","9","9.9","","",
"호남권","약간 감소","엽록소","비율","%","","","23.1","15.1",
"호남권","약간 감소","인삼류","비율","%","6","12.9","13.8","15",
"호남권","약간 감소","페놀류","비율","%","17.2","8.7","21.5","15.6",
"호남권","약간 감소","당 및 탄수화물","비율","%","14.1","6.6","14","21.9",
"호남권","약간 감소","발효미생물류","비율","%","12.9","5.3","11","14.1",
"호남권","약간 감소","신규기능성식품","비율","%","","","8.8","14",
"호남권","비슷","비타민 및 무기질","비율","%","63.3","65.6","59.1","78.3",
"호남권","비슷","식이섬유","비율","%","60.6","62.3","50.1","59.2",
"호남권","비슷","아미노산 및 단백질","비율","%","68.9","72.1","55","56.8",
"호남권","비슷","필수지방산","비율","%","60.1","51.7","","",
"호남권","비슷","지방산","비율","%","","","53.8","68.1",
"호남권","비슷","클로렐라/엽록소","비율","%","75.8","74.7","","",
"호남권","비슷","엽록소","비율","%","","","53.5","65.8",
"호남권","비슷","인삼류","비율","%","65.5","59.9","50.6","51.3",
"호남권","비슷","페놀류","비율","%","66.7","76.4","46.7","61.7",
"호남권","비슷","당 및 탄수화물","비율","%","74.4","78.8","60","59.7",
"호남권","비슷","발효미생물류","비율","%","55.4","54.2","51.3","65.3",
"호남권","비슷","신규기능성식품","비율","%","","","61.9","62.9",
"호남권","약간 증가","비타민 및 무기질","비율","%","32.6","29.3","25.1","9.5",
"호남권","약간 증가","식이섬유","비율","%","11.7","17.5","30.8","22.2",
"호남권","약간 증가","아미노산 및 단백질","비율","%","8.8","10.9","23.1","19.9",
"호남권","약간 증가","필수지방산","비율","%","23.1","33.2","","",
"호남권","약간 증가","지방산","비율","%","","","29.8","16.5",
"호남권","약간 증가","클로렐라/엽록소","비율","%","3.9","10.1","","",
"호남권","약간 증가","엽록소","비율","%","","","18.9","14",
"호남권","약간 증가","인삼류","비율","%","21.2","21.5","28.1","25.1",
"호남권","약간 증가","페놀류","비율","%","10.4","11.2","22.6","16.9",
"호남권","약간 증가","당 및 탄수화물","비율","%","2.9","7","21.4","16",
"호남권","약간 증가","발효미생물류","비율","%","29.6","33.9","33.1","17",
"호남권","약간 증가","신규기능성식품","비율","%","","","25.6","19.7",
"호남권","매우 증가","비타민 및 무기질","비율","%","0",".6","0","0",
"호남권","매우 증가","식이섬유","비율","%","0","2.2","1.3","1.1",
"호남권","매우 증가","아미노산 및 단백질","비율","%","0","1.3","2.1","1.3",
"호남권","매우 증가","필수지방산","비율","%",".1","2.4","","",
"호남권","매우 증가","지방산","비율","%","","","1.2","0",
"호남권","매우 증가","클로렐라/엽록소","비율","%","0","0","","",
"호남권","매우 증가","엽록소","비율","%","","","1.2","1.5",
"호남권","매우 증가","인삼류","비율","%",".1","2.5","3.1","4.8",
"호남권","매우 증가","페놀류","비율","%","0",".2","3.6","2.4",
"호남권","매우 증가","당 및 탄수화물","비율","%",".3","1",".7",".9",
"호남권","매우 증가","발효미생물류","비율","%",".6","3.5","3","1.8",
"호남권","매우 증가","신규기능성식품","비율","%","","","2.5",".6",
"호남권","평균","비타민 및 무기질","비율","점","3.27","3.25","3.07","2.96",
"호남권","평균","식이섬유","비율","점","2.8","2.98","3.13","3.04",
"호남권","평균","아미노산 및 단백질","비율","점","2.84","2.95","3.05","2.95",
"호남권","평균","필수지방산","비율","점","3","3.24","","",
"호남권","평균","지방산","비율","점","","","3.16","2.99",
"호남권","평균","클로렐라/엽록소","비율","점","2.72","2.89","","",
"호남권","평균","엽록소","비율","점","","","2.92","2.95",
"호남권","평균","인삼류","비율","점","3.01","3.07","3.12","3.12",
"호남권","평균","페놀류","비율","점","2.82","2.96","2.97","2.99",
"호남권","평균","당 및 탄수화물","비율","점","2.73","2.89","3.01","2.93",
"호남권","평균","발효미생물류","비율","점","3.15","3.29","3.25","3.03",
"호남권","평균","신규기능성식품","비율","점","","","3.19","3.01",
"대경권","구입없음","비타민 및 무기질","비율","","34.8","28.6","35.3","35.2",
"대경권","구입없음","식이섬유","비율","","58.3","51.7","79.6","87.5",
"대경권","구입없음","아미노산 및 단백질","비율","","59.5","52.6","71.8","80.5",
"대경권","구입없음","필수지방산","비율","","52.4","46.9","","",
"대경권","구입없음","지방산","비율","","","","60.4","64.5",
"대경권","구입없음","클로렐라/엽록소","비율","","62.5","58.1","","",
"대경권","구입없음","엽록소","비율","","","","86.7","90.7",
