코드유형,코드,코드명
심사조정사유코드,31,차상위2종환자 입원가산식대 급여기준 범위초과비용 조정
심사조정사유코드,32,차상위2종환자 입원가산식대 급여기준 범위초과비용 조정
심사조정사유코드,33,차상위2종환자 입원가산식대 급여기준 범위초과비용 조정
심사조정사유코드,34,차상위2종환자 입원가산식대 급여기준 범위초과비용 조정
심사조정사유코드,35,차상위2종환자 입원가산식대 급여기준 범위초과비용 조정
심사조정사유코드,41,"미신청된 신의료기술등(행위, 치료재료)의 청구비용 조정"
심사조정사유코드,42,"미신청된 신의료기술등(행위, 치료재료)의 청구비용 조정"
심사조정사유코드,43,"미신청된 신의료기술등(행위, 치료재료)의 청구비용 조정"
심사조정사유코드,51,장애인 치과 진료 가산비용 요양급여기준 범위초과 조정
심사조정사유코드,52,장애인 치과 진료 가산비용 요양급여기준 범위초과 조정
심사조정사유코드,53,장애인 치과 진료 가산비용 요양급여기준 범위초과 조정
심사조정사유코드,61,토요 진찰료 가산 요양급여기준 범위초과비용 조정
심사조정사유코드,62,토요 진찰료 가산 요양급여기준 범위초과비용 조정
심사조정사유코드,63,토요 진찰료 가산 요양급여기준 범위초과비용 조정
심사조정사유코드,$         ,심사조정사유코드오류
심사조정사유코드,3A        ,차상위2종환자 입원가산식대 산정금액 착오조정
심사조정사유코드,3B        ,차상위2종환자 입원가산식대 요양급여기준 적용착오비용 조정
심사조정사유코드,3D        ,차상위2종환자 입원가산식대 계산착오 조정
심사조정사유코드,3K        ,차상위2종환자 입원가산식대 코드착오조정
심사조정사유코드,5A        ,장애인 치과 진료 가산금액 산정착오 조정
심사조정사유코드,5B        ,장애인 치과 진료 가산 요양급여기준 적용착오 조정
심사조정사유코드,5D        ,장애인 치과 진료 가산 계산착오금액 조정
심사조정사유코드,5E        ,장애인 치과 진료 가산 비용 비급여 조정
심사조정사유코드,5K        ,장애인 치과 진료 가산 코드산정 착오 조정
심사조정사유코드,5R        ,장애인 치과 진료 가산 비용 의료 장비 미신고 조정
심사조정사유코드,6A        ,토요 진찰료 가산 금액 산정착오 조정
심사조정사유코드,6B        ,토요 진찰료 가산 요양급여기준 적용착오 비용 조정
심사조정사유코드,6D        ,토요 진찰료 가산 계산착오금액 조정
심사조정사유코드,6E        ,토요진찰료가산코드 비급여 또는 요양급여비용의 100분의 100 본인부담항목 조정
심사조정사유코드,6H        ,토요 진찰료 가산 소멸시효기간이 경과된 요양급여비용 조정
심사조정사유코드,6K        ,토요 진찰료 가산 코드산정 착오 조정
심사조정사유코드,6L        ,토요 진찰료 가산 증빙자료상 확인되지 아니한 요양급여비용 조정(본인부담액 적정징수)
심사조정사유코드,6Z        ,토요 진찰료 가산 허위청구(본인부담액은 적정징수)
심사조정사유코드,7A        ,퇴장방지 의약품 사용장려금 금액 산정착오 조정
심사조정사유코드,7B        ,퇴장방지 의약품 사용장려금 요양급여기준 적용착오 비용 조정
심사조정사유코드,7C        ,퇴장방지 의약품 사용장려금 요양급여기준 범위 초과 비용 조정
심사조정사유코드,7D        ,퇴장방지 의약품 사용장려금 계산착오금액 조정
심사조정사유코드,7E        ,퇴장방지 의약품 사용장려금 비급여 또는 요양급여비용의 100분의100본인부담 항목 조정
심사조정사유코드,7K        ,퇴장방지 의약품 사용장려금 산정코드 및 코드구분 착오 또는 누락 조정
심사조정사유코드,A         ,"금액 산정착오 조정(행위, 약제, 치료재료)"
심사조정사유코드,A1        ,"금액 산정착오 조정(행위, 약제, 치료재료)"
심사조정사유코드,A2        ,"금액 산정착오 조정(행위, 약제, 치료재료)"
심사조정사유코드,A3        ,"행위, 약제, 치료재료의 금액 산정착오"
심사조정사유코드,AB        ,"산정착오, 요양급여비용 산정기준 적용착오"
심사조정사유코드,AC        ,"산정착오, 요양급여기준 적용착오 및 의약분업관련 처방내역 의심사항 확인절차 미이행"
심사조정사유코드,AK        ,코드 산정착오 조정
심사조정사유코드,AS        ,"행위, 약제, 치료재료의 금액 산정착오(일괄조정)"
심사조정사유코드,B         ,요양급여기준 적용착오 비용 조정
심사조정사유코드,B1        ,요양급여기준 적용착오 비용 조정
심사조정사유코드,B2        ,요양급여기준 적용착오 비용 조정
심사조정사유코드,B3        ,요양급여기준 적용착오 비용 조정
심사조정사유코드,B4        ,요양급여기준 적용착오 비용 조정
심사조정사유코드,B5        ,요양급여기준 적용착오 비용 조정
심사조정사유코드,BC        ,"요양급여비용 급여기준 및 산정기준 적용착오, 의약분업관련 처방내역 의심사항 확인절차 미이행"
심사조정사유코드,BD        ,약제상한차액 산정착오 조정
심사조정사유코드,BL        ,요양병원 행위별 입원기간 조정
심사조정사유코드,BN        ,"미신청된 신의료기술등(행위, 치료재료)의 청구비용 조정"
심사조정사유코드,BR        ,물리치료 1일 산정횟수 초과분 조정
심사조정사유코드,BS        ,요양급여비용 산정기준 적용착오(일괄조정)
심사조정사유코드,BZ        ,"I, II란 적용착오분 조정"
심사조정사유코드,C         ,"요양급여기준 범위초과비용 조정,처방내역 미확인 조제"
심사조정사유코드,C1        ,"요양급여기준 범위초과비용 조정,처방내역 미확인 조제"
심사조정사유코드,C2        ,"요양급여기준 범위초과비용 조정,처방내역 미확인 조제"
심사조정사유코드,C3        ,"요양급여기준 범위초과비용 조정,처방내역 미확인 조제"
심사조정사유코드,C4        ,"요양급여기준 범위초과비용 조정,처방내역 미확인 조제"
심사조정사유코드,C5        ,"요양급여기준 범위초과비용 조정,처방내역 미확인 조제"
심사조정사유코드,CD        ,CT총액 계산착오
심사조정사유코드,CP        ,임부금기 의약품 청구비용 조정
심사조정사유코드,CR        ,연령금기 의약품 청구비용 조정
심사조정사유코드,CS        ,"요양급여기준 범위 초과 진료, 처방내역 미확인 조제(일괄조정)"
심사조정사유코드,CU        ,병용금기 의약품 청구비용 조정
심사조정사유코드,D         ,계산착오금액 조정
심사조정사유코드,DD        ,약제상한차액총액 계산착오
심사조정사유코드,DS        ,계산착오(일괄조정)
심사조정사유코드,E         ,비급여 또는 요양급여비용의 100분의100본인부담항목 조정
심사조정사유코드,ES        ,"비급여대상, 요양급여비용의 100분의100 본인부담항목 청구(일괄조정)"
심사조정사유코드,F         ,구입증빙자료 미제출분 조정
심사조정사유코드,FS        ,증빙자료 미제출(일괄조정)
심사조정사유코드,G         ,중복청구비용 조정
심사조정사유코드,GS        ,중복청구(일괄조정)
심사조정사유코드,H         ,소멸시효기간이 경과된 요양급여비용 조정
심사조정사유코드,HS        ,소멸시효기간이 경과된 요양급여비용청구(일괄조정)
심사조정사유코드,I         ,진찰료 착오(진찰료의 100분의100 본인부담하는 경우)
심사조정사유코드,I1        ,진찰료 착오(진찰료의 100분의100 본인부담하는 경우)
심사조정사유코드,I2        ,진찰료 착오(진찰료의 100분의100 본인부담하는 경우)
심사조정사유코드,IK        ,코드(3자리:수가)적용착오 조정
심사조정사유코드,IS        ,진찰료 착오(진찰료의 100분의100 본인부담하는 경우)(일괄조정)
심사조정사유코드,J         ,"의료급여정신과 입원기간에 따른 차등수가 적용착오, 정신과 외래 보호자 내원 수가 적용착오"
심사조정사유코드,J1        ,"의료급여정신과 입원기간에 따른 차등수가 적용착오, 정신과 외래 보호자 내원 수가 적용착오"
심사조정사유코드,J2        ,"의료급여정신과 입원기간에 따른 차등수가 적용착오, 정신과 외래 보호자 내원 수가 적용착오"
심사조정사유코드,J3        ,"의료급여정신과 입원기간에 따른 차등수가 적용착오, 정신과 외래 보호자 내원 수가 적용착오"
심사조정사유코드,J4        ,"의료급여정신과 입원기간에 따른 차등수가 적용착오, 정신과 외래 보호자 내원 수가 적용착오"
심사조정사유코드,J5        ,"의료급여정신과 입원기간에 따른 차등수가 적용착오, 정신과 외래 보호자 내원 수가 적용착오"
심사조정사유코드,JS        ,"보건기관 청구관련 요양급여비용 산정기준 등 적용착오, 의료급여정신과 입원기간에 따른 차등수가 적용착오, 정신과 외래 보호자 내원 수가 적용착오(일괄조정)"
심사조정사유코드,K         ,산정코드 및 코드구분 착오 또는 누락 조정
심사조정사유코드,KK        ,협약가 또는 치료재료 구분착오 조정
심사조정사유코드,KS        ,"EDI, 디스켓 청구관련 코드 및 코드구분 착오 또는 누락(일괄조정)"
심사조정사유코드,L         ,증빙자료상 확인되지 아니한 요양급여비용 조정(본인부담액 적정징수)
심사조정사유코드,L1        ,증빙자료상 확인되지 아니한 요양급여비용 조정(본인부담액 적정징수)
심사조정사유코드,L2        ,증빙자료상 확인되지 아니한 요양급여비용 조정(본인부담액 적정징수)
심사조정사유코드,L3        ,증빙자료상 확인되지 아니한 요양급여비용 조정(본인부담액 적정징수)
심사조정사유코드,LS        ,관련자료 확인결과 요양급여비용 착오청구(본인부담액은 적정징수)(일괄조정)
심사조정사유코드,M         ,증빙자료상 확인되지 아니한 요양급여비용 조정
심사조정사유코드,M1        ,증빙자료상 확인되지 아니한 요양급여비용 조정
심사조정사유코드,M2        ,증빙자료상 확인되지 아니한 요양급여비용 조정
심사조정사유코드,MS        ,관련자료에서 확인되지 아니한 요양급여비용 착오청구(일괄조정)
심사조정사유코드,N         ,항산균 요양기관착오
심사조정사유코드,NS        ,"항산균,요양기관착오,검산착오(일괄조정)"
심사조정사유코드,O         ,허위청구비용 조정
심사조정사유코드,OS        ,허위청구(일괄조정)
심사조정사유코드,P         ,"EDI, 디스켓 청구관련 2이상의 줄번호를 상호 연계조정"
심사조정사유코드,P1        ,"EDI, 디스켓 청구관련 2이상의 줄번호를 상호 연계조정"
심사조정사유코드,P2        ,"EDI, 디스켓 청구관련 2이상의 줄번호를 상호 연계조정"
심사조정사유코드,P3        ,"EDI, 디스켓 청구관련 2이상의 줄번호를 상호 연계조정"
심사조정사유코드,PA        ,비급여항목 단가 착오기재
심사조정사유코드,PD        ,요양급여비용총액 계산착오 조정
심사조정사유코드,PK        ,"포괄항목 조정, 미신고된 비급여항목 기재"
심사조정사유코드,PS        ,"EDI, 디스켓 청구관련 2이상의 줄번호를 상호 연계조정(일괄조정)"
심사조정사유코드,Q         ,재심사후 전액 환수
심사조정사유코드,QS        ,재심사후 전액 환수(일괄조정)
심사조정사유코드,R         ,의료장비 미신고 행위료 조정
심사조정사유코드,RB        ,부적합 의료장비 사용 행위료 조정
심사조정사유코드,RS        ,"대체, 변경.수정조제의 절차 위반(일괄조정)"
심사조정사유코드,S         ,요양급여기준 범위초과 처방의약품 조정
심사조정사유코드,S1        ,요양급여기준 범위초과 처방의약품 조정
심사조정사유코드,S2        ,요양급여기준 범위초과 처방의약품 조정
심사조정사유코드,SP        ,임부금기 처방의약품 조정
심사조정사유코드,SR        ,연령금기 처방의약품 조정
심사조정사유코드,SS        ,요양급여기준 범위 초과 의약품 처방(일괄조정)
심사조정사유코드,SU        ,병용금기 처방의약품 조정
심사조정사유코드,T         ,추가청구분중 정액제 해당
심사조정사유코드,T3        ,차상위2종환자 입원가산식대 급여기준 범위 초과(요양급여비용총액 해당)
심사조정사유코드,TB        ,"보건기관 물리치료비율 조정, 의료급여 정신과 정신요법 급여기준적용 착오, 의료급여 정신과 기관등급 산정착오, 요양병원 입원 불인정 진료비"
심사조정사유코드,TD        ,요양급여비용총액 계산착오(약제상한차액 제외)
심사조정사유코드,TE        ,비급여 또는 100분의 100 본인부담대상 청구(요양급여비용총액과 100분의 100미만 총액 해당)
심사조정사유코드,TG        ,중복청구(요양급여비용총액과 100분의 100미만 총액 해당)
심사조정사유코드,TH        ,소멸시효기간이 경과된 요양급여비용청구(요양급여비용총액 해당)
심사조정사유코드,TI        ,추가청구분 중 10% 정률제 해당  (65세이상 노인 의원급 외래 명세서만 해당)
심사조정사유코드,TJ        ,"보건기관 청구관련 요양급여비용 산정기준 등 적용착오, 의료급여정신과 입원기간에 따른 차등수가 적용착오, 정신과 외래 보호자 내원 수가 적용착오"
심사조정사유코드,TL        ,관련자료 확인결과 요양급여비용총액 착오청구(본인부담금은은 적정징수)
심사조정사유코드,TS        ,추가청구분중 정액제 해당(일괄조정)
심사조정사유코드,TT        ,추가청구분중 정액제 해당
심사조정사유코드,TU        ,의약분업관련 약사의 허용범위(지역)외 직접조제
심사조정사유코드,TV        ,의료급여이력 조회결과 의료급여기준 범위초과
심사조정사유코드,TW        ,"추가청구분중 정률제 해당(단, 65세이상 노인 의원급 외래 및 65세이상 노인 약국 명세서의 경우는 30% 정률제 해당)"
심사조정사유코드,TY        ,"식대 요양급여기준 범위초과(요양급여비용총액 해당), 차상위환자 기본식대 요양급여기준 범위초과(요양급여비용총액 해당)"
심사조정사유코드,TZ        ,"추가청구분 중 20% 정률제 해당  (단, 65세이상 노인 의원급 외래 및 65세이상 노인 약국 명세서만  해당)"
심사조정사유코드,U         ,"의약분업관련 의사, 치과의사의 허용범위외 직접조제"
심사조정사유코드,UD        ,100분의 100본인부담금총액 계산착오
심사조정사유코드,UR        ,의약분업 관련 대체·변경·수정조제 절차 위반
심사조정사유코드,US        ,"의약분업관련 의사, 치과의사의 허용범위외 직접조제(일괄조정)"
심사조정사유코드,V         ,의료급여 이력 조회결과 의료급여 기준 범위 초과비용 조정
심사조정사유코드,V1        ,의료급여 이력 조회결과 의료급여 기준 범위 초과비용 조정
심사조정사유코드,V2        ,의료급여 이력 조회결과 의료급여 기준 범위 초과비용 조정
심사조정사유코드,V3        ,의료급여 이력 조회결과 의료급여 기준 범위 초과비용 조정
심사조정사유코드,V4        ,의료급여 이력 조회결과 의료급여 기준 범위 초과비용 조정
심사조정사유코드,V5        ,의료급여 이력 조회결과 의료급여 기준 범위 초과비용 조정
심사조정사유코드,VS        ,의료급여이력 조회결과 의료급여기준 범위초과(일괄조정)
심사조정사유코드,W         ,추가청구분중 정률제 해당
심사조정사유코드,WS        ,추가청구분중 정율제 해당(일괄조정)
심사조정사유코드,X         ,비급여 또는 100분의 100 본인부담 의약품의 보험청구비용 조정
심사조정사유코드,X1        ,비급여 또는 100분의 100 본인부담 의약품의 보험청구비용 조정
심사조정사유코드,X2        ,비급여 또는 100분의 100 본인부담 의약품의 보험청구비용 조정
심사조정사유코드,X3        ,동일 효능의 의약품 다종 병용 처방
심사조정사유코드,X4        ,미등재의약품 처방
심사조정사유코드,X5        ,"관련자료 미첨부(의사소견서등), 검사결과치 미기재"
심사조정사유코드,X6        ,"행정해석, 진료심사평가위원회 심의결정 사항등 관련 적용 착오"
심사조정사유코드,X7        ,기타
심사조정사유코드,XS        ,비급여 또는 요양급여비용의 100분의100 본인부담 의약품 보험급여로 처방(일괄조정)
심사조정사유코드,Y         ,"식대비용 요양급여기준 범위초과 조정, 차상위환자 기본식대 요양급여기준 범위초과 조정"
심사조정사유코드,Y1        ,"식대비용 요양급여기준 범위초과 조정, 차상위환자 기본식대 요양급여기준 범위초과 조정"
심사조정사유코드,Y2        ,"식대비용 요양급여기준 범위초과 조정, 차상위환자 기본식대 요양급여기준 범위초과 조정"
심사조정사유코드,Y3        ,"식대비용 요양급여기준 범위초과 조정, 차상위환자 기본식대 요양급여기준 범위초과 조정"
심사조정사유코드,Y4        ,"식대비용 요양급여기준 범위초과 조정, 차상위환자 기본식대 요양급여기준 범위초과 조정"
심사조정사유코드,Y5        ,"식대비용 요양급여기준 범위초과 조정, 차상위환자 기본식대 요양급여기준 범위초과 조정"
심사조정사유코드,YA        ,"식대금액 산정착오 조정, 차상위환자 기본식대금액 산정착오 조정"
심사조정사유코드,YB        ,"식대 요양급여기준 적용착오 조정, 차상위환자 기본식대 요양급여기준 적용착오 조정"
